iter	Passed	Remaining
0	109	109717
1	150	75252
2	191	63750
3	230	57402
4	270	53925
5	310	51393
6	353	50123
7	395	49031
8	437	48160
9	480	47533
10	519	46685
11	558	45998
12	596	45305
13	635	44737
14	673	44228
15	712	43796
16	750	43406
17	789	43090
18	828	42751
19	865	42413
20	906	42278
21	946	42071
22	986	41907
23	1024	41662
24	1064	41515
25	1104	41367
26	1141	41143
27	1179	40962
28	1217	40760
29	1254	40565
30	1296	40512
31	1335	40406
32	1375	40300
33	1414	40181
34	1453	40069
35	1492	39967
36	1535	39957
37	1574	39850
38	1612	39735
39	1651	39644
40	1690	39539
41	1729	39452
42	1770	39398
43	1809	39315
44	1847	39210
45	1887	39147
46	1927	39077
47	1972	39127
48	2014	39090
49	2056	39068
50	2097	39035
51	2139	39008
52	2179	38944
53	2218	38861
54	2257	38779
55	2295	38691
56	2334	38627
57	2374	38570
58	2412	38474
59	2450	38385
60	2489	38321
61	2529	38262
62	2567	38187
63	2606	38113
64	2645	38056
65	2684	37990
66	2724	37933
67	2762	37868
68	2800	37791
69	2840	37739
70	2878	37669
71	2919	37629
72	2960	37599
73	3000	37540
74	3038	37472
75	3076	37407
76	3115	37346
77	3153	37270
78	3190	37200
79	3228	37124
80	3268	37078
81	3305	37007
82	3347	36982
83	3388	36948
84	3425	36872
85	3462	36802
86	3502	36759
87	3542	36716
88	3581	36658
89	3619	36598
90	3658	36542
91	3697	36494
92	3736	36440
93	3778	36422
94	3817	36365
95	3855	36304
96	3895	36266
97	3935	36218
98	3973	36164
99	4012	36111
100	4050	36055
101	4088	35998
102	4128	35953
103	4166	35893
104	4205	35851
105	4245	35804
106	4284	35754
107	4323	35709
108	4364	35674
109	4404	35636
110	4443	35591
111	4482	35540
112	4521	35494
113	4561	35454
114	4599	35393
115	4639	35355
116	4677	35303
117	4716	35257
118	4756	35211
119	4795	35166
120	4833	35113
121	4871	35062
122	4912	35028
123	4952	34989
124	4990	34930
125	5029	34885
126	5068	34843
127	5106	34788
128	5146	34748
129	5185	34705
130	5224	34655
131	5263	34614
132	5304	34576
133	5344	34542
134	5383	34491
135	5422	34450
136	5461	34404
137	5500	34360
138	5539	34313
139	5579	34273
140	5618	34228
141	5657	34186
142	5696	34136
143	5734	34091
144	5775	34056
145	5815	34016
146	5854	33969
147	5893	33928
148	5932	33882
149	5970	33831
150	6010	33791
151	6049	33747
152	6088	33705
153	6127	33664
154	6167	33624
155	6207	33585
156	6245	33533
157	6284	33488
158	6321	33437
159	6363	33410
160	6403	33369
161	6443	33332
162	6481	33280
163	6519	33231
164	6558	33190
165	6597	33147
166	6635	33098
167	6675	33061
168	6715	33021
169	6756	32987
170	6796	32948
171	6834	32903
172	6874	32860
173	6915	32826
174	6953	32782
175	6991	32731
176	7032	32696
177	7070	32652
178	7111	32616
179	7149	32571
180	7189	32530
181	7228	32487
182	7266	32439
183	7305	32397
184	7348	32374
185	7388	32335
186	7429	32298
187	7468	32255
188	7507	32216
189	7545	32168
190	7584	32124
191	7622	32076
192	7659	32028
193	7699	31987
194	7736	31937
195	7774	31893
196	7814	31852
197	7853	31809
198	7895	31780
199	7937	31751
